event,onset,timestamp,confidence,id,diameter,diameter_3d,orig_idx,colour,diameter_3d_pc,diameter_pc
0,43.25,500619.162104,0.961512804031372,1,80.69150983941829,3.907427848210456,2697,blue,624.2032869524271,247.59477289239484
0,43.266666666666666,500619.179799,0.9138941168785096,1,80.7377721283365,3.909759990260709,2698,blue,624.6355265238391,247.79405692911703
0,43.28333333333333,500619.204416,0.9102530479431152,1,80.68514782473711,3.907366941104348,2699,blue,624.1919984198795,247.56736724522526
0,43.3,500619.223,0.957550585269928,1,80.75394912266682,3.910619911796639,2700,blue,624.7949045154575,247.86374255876407
0,43.31666666666667,500619.244644,0.9172610640525818,1,80.73932348088802,3.909757190996128,2701,blue,624.635007707705,247.80073968965644
0,43.333333333333336,500619.265313,0.9285128712654114,1,80.64984922464163,3.905530902717684,2702,blue,623.8517067788703,247.41531148486052
0,43.35,500619.287817,1.0,1,80.84705295719911,3.915014882447277,2703,blue,625.6094690614692,248.26480589596108
0,43.36666666666667,500619.309628,0.980616331100464,1,80.74176940886477,3.910175773174077,2704,blue,624.7125877938655,247.81127601226686
0,43.38333333333333,500619.333297,0.9044072031974792,1,80.64756075360711,3.9054432412252496,2705,blue,623.8354595841871,247.40545343943424
0,43.4,500619.350683,0.9314094185829164,1,80.74588900497588,3.910186817492824,2706,blue,624.7146347496249,247.82902199418615
0,43.416666666666664,500619.371377,0.962958574295044,1,80.6040993360461,3.903390149230268,2707,blue,623.4549391935516,247.2182347147287
0,43.43333333333333,500619.393986,1.0,1,80.51061698123648,3.899081161876163,2708,blue,622.6563108051326,246.81554082593965
0,43.45,500619.436372,0.9241504669189452,1,80.48792762068577,3.898184850449047,2709,blue,622.4901883054049,246.71780187987954
0,43.46666666666667,500619.457969,0.9902871251106262,1,80.60163429599467,3.903806167204592,2710,blue,623.5320440298123,247.20761606304458
0,43.483333333333334,500619.479329,1.0,1,80.54490610370587,3.901156608850373,2711,blue,623.0409744711059,246.9632480600854
0,43.5,500619.501942,0.9645313620567322,1,80.57768310977183,3.9029031782967833,2712,blue,623.3646839247713,247.10444155122545
0,43.516666666666666,500619.518488,0.978399693965912,1,80.48624506725558,3.898232534611475,2713,blue,622.4990260955082,246.7105539453867
0,43.53333333333333,500619.539937,0.9667308926582336,1,80.54227217645776,3.900988533193852,2714,blue,623.0098233027062,246.95190189311634
0,43.55,500619.562096,0.9426488280296326,1,80.51479468324476,3.899467887578888,2715,blue,622.7279866072056,246.83353711060045
0,43.56666666666667,500619.57847,1.0,1,80.53552483432833,3.900910286012383,2716,blue,622.9953209578861,246.92283637110825
0,43.583333333333336,500619.591405,1.0,1,80.56043942399056,3.90200404626109,2717,blue,623.1980386530098,247.03016093539736
0,43.6,500619.612169,0.9174912571907043,1,80.46972997147043,3.897374011599647,2718,blue,622.339907306565,246.63941187628726
0,43.61666666666667,500619.631668,1.0,1,80.39644881378352,3.893775095416689,2719,blue,621.6728836197788,246.3237386733175
0,43.63333333333333,500619.652779,1.0,1,80.4159904590607,3.8948910771573617,2720,blue,621.87971984969,246.40791820801184
0,43.65,500619.678304,0.9080975651741028,1,80.27742456009616,3.8873730661127066,2721,blue,620.4863305098517,245.81101796067406
0,43.666666666666664,500619.698337,0.9635595083236694,1,80.33833955214334,3.890712851130435,2722,blue,621.1053267860494,246.0734214386672
0,43.68333333333333,500619.721139,1.0,1,80.40852929009176,3.894182334412609,2723,blue,621.7483613588125,246.3757777345168
0,43.7,500619.742313,1.0,1,80.50897730387747,3.898737508447625,2724,blue,622.592618025077,246.8084775886752
0,43.71666666666667,500619.76882,0.9763131141662598,1,80.33956122742613,3.8902435349649394,2725,blue,621.0183436547223,246.07868404861603
